player_name,nfl_team,position,games_played_2025,solo_tackles_2025,ast_tackles_2025,tfl_2025,sacks_2025,ff_2025,fr_2025,pd_2025,snap_pct_2025,role_2026,depth_chart_note,risk_tier,source_note
Alim McNeill,DET,DT,10.0,5.0,4.0,2.0,1.0,1.0,,1.0,,Starting DT alongside Tyleik Williams; aiming for full 3-down role after incomplete ACL recovery,"Tore ACL in 2024, returned Wk7 2025 but never felt 100%; missed final regular season game (abdomen); neck scare in 2026 camp (returned to practice)",high,"CBS Sports, NBC Sports, PFF"
Zach Sieler,MIA,DT,17.0,29.0,18.0,12.0,5.5,1.0,1.0,2.0,,"Team captain, full-time starting interior DL/run anchor","Signed 3-yr/$64M extension through 2029, highest-paid Dolphins defender; no missed-time injuries in 2025 (17 games); sacks dropped from 10.0 (2024) to 5.5",low,"HC Jeff Hafley called him week-to-week with an undisclosed injury (~Aug 12, 2026), missing practice time including a joint practice vs. Washington; has since returned for preseason snaps and is expected for the Week 1 opener vs. the Raiders."
Grady Jarrett,CHI,DT,14.0,14.0,25.0,3.5,1.5,0.0,0.0,3.0,,Rotational interior DT / DT3-type role behind Dexter and rookie Shemar Turner; run-stuffing veteran depth,"Called a 'roster lock,' listed as a starting DT on Chicago's first camp depth chart, logging the plurality of DL snaps (~60%) in a three-man rotation with Dexter and Gallimore -- not demoted to DT3.",medium,"ESPN gamelog, PFF, Chicago Bears team site, SI Bears/Windy City Gridiron camp reports"
Nnamdi Madubuike,BAL,DT,2.0,5.0,2.0,,2.0,,,,,Expected starter/full-time 3-tech pass rusher if fully recovered; unclear ramp-up timeline post neck surgery,"Legally/publicly changed his first name to Nnamdi in Sept 2024; activated off PUP late Aug 2026, individual drills only, no full-team reps yet.",high,"ESPN gamelog, CBS Sports, NFL.com, Ravens site, ProFootballRumors/Yardbarker"
Cameron Heyward,PIT,DT,17.0,38.0,40.0,8.5,3.5,1.0,0.0,6.0,71%,Expected starter/anchor of Steelers DL again; re-signed 2-yr/$32.25M deal March 2026,Turns 37 in May 2026; retirement speculation after playoff loss but re-signed; PFF's #1 interior DL grade in 2025,medium,"ESPN gamelog, PFF, Steelers.com, Yahoo Sports, NFL.com"
Derrick Brown,CAR,DT,17.0,33.0,40.0,5.0,5.0,1.0,0.0,7.0,,Expected full-time starter/every-down interior DL,"Returned from 2024 season-ending knee injury, played all 17 games in 2025, faced double-teams 64.4% of snaps; on 4-yr/$96M extension",medium,"Dealing with recurring knee soreness at camp (some called ""veteran rest days"" by the team), not disclosed as serious/surgical, on top of the 2024 knee injury recovery already noted."
Foley Fatukasi,LV,DT,4.0,5.0,3.0,,1.5,,,,,Depth/rotational run-stuffing NT-DT; not a lock for major snaps,"Signed with the Las Vegas Raiders for 2026, not the Texans -- previous team assignment was stale.",high,"RotoWire, PFF, SI Texans, ProFootballRumors, CBS Sports"
Javon Hargrave,GB,DT,16.0,18.0,34.0,4.5,1.0,1.0,0.0,0.0,,"Projected primary nose tackle in new 3-4 scheme reunited with DC Jonathan Gannon; Wyatt at DT, McClellan depth NT","Jonathan Ford finished camp as the nose tackle in Green Bay's No. 1 base defense; Hargrave's path to lead NT snaps looks less settled than a clean 'primary nose tackle' framing implies. Also had an early-camp PUP flare-up, since resolved and called minor.",medium,"ESPN gamelog, PFF, SI Packers, CheeseheadTV, Yahoo Sports"
Sheldon Rankins,HOU,DT,17.0,18.0,23.0,,3.0,0.0,1.0,0.0,,"Rotational interior DT, run-stuffing/pass-rush depth",Re-signed 2-yr/$17M with Houston in 2026 FA; reserve/rotational at age 32,medium,"NFL.com game logs, ESPN stats, ESPN/CBS FA news"
Jordan Davis,PHI,NT,17.0,32.0,36.0,9.0,4.5,0.0,0.0,6.0,,"Full-time nose tackle, run anchor with growing pass rush","Signed 3-yr/$78M extension in 2026 (was on 5th-yr option); entrenched starter, now highest-paid NT in NFL",low,"NFL.com game logs, ESPN stats, NFL.com contract news"
Ed Oliver,BUF,DT,3.0,10.0,2.0,7.0,3.0,1.0,0.0,0.0,,Starting 3-tech interior rusher when healthy,"Missed most of 2025 (ankle, then torn bicep, then meniscus in rehab); Bills restructured contract in 2026, quashing trade rumors",high,"ESPN stats, NFL.com game logs, Newsweek/CBS/SI injury reports, CBS contract report"
Osa Odighizuwa,SF,DT,17.0,17.0,27.0,,2.5,0.0,0.0,0.0,,Projected starting interior pass rusher for SF after trade; led DTs in QB hits (23),"Traded Cowboys to 49ers March 2026 for a 2026 3rd-rounder; offseason elbow cleanup surgery, not expected to affect availability",medium,"NFL.com game logs, PFF-sourced summary, ESPN/NBCS Bay Area/SI trade coverage"
Byron Murphy II,SEA,DT,17.0,22.0,32.0,7.0,7.0,0.0,1.0,0.0,,Emerging full-time 3-tech pass rusher; PFF All-Breakout Team,"Career year (62 tackles, career-high sacks/TFL/QB hits); 2 sacks + FR in Super Bowl LX win; no injury/competition concerns for 2026",low,"NFL.com game logs, ESPN stats, PFF-sourced summary, AtoZ Sports/SI coverage"
Leonard Williams,SEA,DE,17.0,37.0,26.0,,7.0,1.0,0.0,1.0,,Every-down starting interior/edge lineman; ESPN's No. 1 ranked DT entering 2026,Final year of contract in 2026; extension talks reportedly on hold as of July 2026,low,"NFL.com game logs, CBS/ESPN season recap, Spotrac, HeraldNet/ESPN contract-talks reporting"
Myles Garrett,LA,DE,17.0,,,33.0,23.0,3.0,,,,"Traded from Cleveland to the Rams June 2, 2026 (for Jared Verse + a 2027 1st/2028 2nd/2029 3rd) after requesting a trade to chase a Super Bowl; expected full-time starting edge rusher opposite Byron Young. Held out of practice/preseason with knee swelling as of early Aug 2026 -- team calling it 'minor,' cautious, expected ready for Week 1, but worth a final camp health check.","60 combined tackles, led NFL in sacks (most ever in a season) and TFL; AP Defensive Player of the Year, First-Team All-Pro",medium,"ESPN, NFL.com, Yahoo Sports, CBS Sports -- trade and camp status both independently confirmed Aug 2026"
Micah Parsons,GB,DE,,,,,,,,,,Expected featured edge rusher if healthy; acquired via blockbuster trade + 4yr/$188M extension,"Traded from Cowboys to Packers Aug 28 2025; suffered a torn ACL during the 2025 season that ended his year early -- exact final tackle/sack totals not clearly reported due to the injury, so left blank rather than guessed",high,"Yahoo Sports, SI, CBS Sports, NFL.com trade coverage"
T.J. Watt,PIT,DE,14.0,23.0,32.0,,7.0,3.0,2.0,8.0,,Expected starting edge rusher again if healthy,Missed 3 of final 4 games with a partially collapsed lung; 2 INT among his PD total; finished 3rd on team in sacks despite missed time,medium,"CBS Sports, PFF, RotoWire, NFL.com, ESPN"
Maxx Crosby,LV,DE,15.0,45.0,,28.0,10.0,1.0,,,,"Full-time starting edge rusher, team focal point on a rebuilding roster","28.0 TFL (2nd in NFL behind Garrett), 53 total pressures; 79.7 PFF grade despite Raiders' 2-13 season",low,"PFF, ESPN gamelog, SI Raiders"
Nick Bosa,SF,DE,3.0,9.0,,,2.0,,,,,Expected starter if fully recovered from injury,"Placed on IR Sept 25 2025, season cut short by injury (worst-case reports mentioned a possible torn ACL); real recovery timeline for 2026 unclear",high,"ESPN gamelog, CBS Sports game log, NFL.com"
Aidan Hutchinson,DET,DE,17.0,36.0,18.0,,14.5,4.0,1.0,3.0,,"Full-time starting edge rusher, entrenched",Healthy bounce-back after 2024's broken tibia/fibula limited him to 5 games; led NFL in total pressures (100 per PFF); PD total includes 1 INT,low,"CBS Sports, RotoWire, ESPN gamelog, SI"
Trey Hendrickson,CIN,DE,7.0,11.0,5.0,,4.0,,,,,"Expected starter if healthy, but real recent injury history",Hip/pelvic injuries limited him to 7 games in 2025 after two straight 17.5-sack seasons -- real questions about durability into 2026,high,"RotoWire, StatMuse, Bengals.com, SI"
Danielle Hunter,HOU,DE,17.0,,,,15.0,3.0,1.0,3.0,,"Full-time starting edge rusher, bookend with Will Anderson Jr.",54 combined tackles; led Texans in sacks 2nd straight year; 4th straight season with double-digit sacks,low,"CBS Sports, PFF, Heavy.com"
Rashan Gary,GB,DE,16.0,25.0,20.0,7.0,7.5,1.0,1.0,,,"Uncertain -- reported a farewell message to the Packers organization, 2026 team destination not clearly confirmed in research",3rd straight season with 7.5+ sacks but no double-digit total; 20 QB hits; departure signal from GB not fully corroborated,medium,"NFL.com, CBS Sports, RotoWire, PFF"
Will Anderson Jr.,HOU,DE,17.0,35.0,19.0,20.0,12.0,3.0,2.0,3.0,,"Full-time starting edge rusher, signed record 3yr/$150M extension","Career-high 12 sacks, 85 pressures (2nd in NFL per Next Gen Stats), 92.3 PFF grade (2nd among edge defenders)",low,"Houston Texans site, PFF, CBS Sports"
Josh Hines-Allen,JAX,DE,17.0,28.0,21.0,12.0,8.0,,,3.0,,"Full-time starting edge rusher, team sack leader",86.8 PFF grade (6th among 115 qualified edge defenders); tied-4th in NFL in pressures,low,"PFF, CBS Sports, Sportsforecaster"
Jared Verse,CLE,DE,17.0,35.0,23.0,,7.5,3.0,,1.0,,"Traded from the Rams to Cleveland June 2, 2026 (the return piece in the Myles Garrett deal); expected full-time starting edge rusher in a new defense, no longer paired with Byron Young.",2026 Pro Bowler; tackles dipped from 2024 but sacks/FF both up,medium,"ESPN, NFL.com -- trade confirmed Aug 2026"
Khalil Mack,LAC,DE,12.0,,,,5.5,3.0,,,,"Starting edge rusher when healthy, but missed real time in 2025",Missed 5 games with a left elbow injury; 32 combined tackles in 12 games,medium,"PFF, ESPN gamelog, Lineups.com"
Montez Sweat,CHI,DE,17.0,36.0,17.0,13.0,10.0,3.0,,5.0,,"Full-time starting edge rusher, entrenched under new coaching staff",Career highs in sacks and tackles; didn't miss a game in 2025,low,"CBS Sports, PFF, ESPN gamelog, Chicago Bears site"
Bradley Chubb,Free agent (unsigned),DE,17.0,24.0,23.0,8.0,8.5,2.0,1.0,,,Unsigned as of Aug 2026 after being released,Released by Miami Dolphins Feb 16 2026; first full healthy season (8.5 sacks) since 2024 ACL tear before release,high,"CBS Sports, NFL.com, SI Dolphins"
Harold Landry,NE,DE,15.0,,,,8.5,1.0,,,,"Starting edge rusher when healthy, signed 3yr/$43.5M deal in 2025. On the active/PUP list as of late July 2026 recovering from offseason knee surgery, has not practiced all summer, HC Vrabel explicitly declining to rush him back. Real roster rule: anyone still on PUP past Aug 30, 2026 roster cutdown must miss the first 4 regular-season games -- which lands right on top of Rivals FCL's Week 4 scoring start, so a still-on-PUP outcome tomorrow could cost him the league's very first scored week, not just an early unscored one.",49 combined tackles over 14 starts/15 games; paced Patriots in sacks despite fewest defensive snaps since rookie year,very_high,"RotoWire, CBS Sports, ESPN gamelog, Wikipedia, Yahoo Sports, Boston.com, Pats Pulpit, Heavy.com -- PUP status and cutdown-day rule independently confirmed Aug 2026"
John Franklin-Myers,TEN,DE,16.0,12.0,13.0,,7.5,,,,,"Signed 3yr/$63M with Titans Mar 2026 FA, reunites with HC Robert Saleh from Jets tenure; full-time interior/edge rusher paired with Jeffery Simmons","Real 2025 (with Denver): 25 tackles (12 solo, 13 assist), career-high 7.5 sacks, 15 QB hits over 16 games (15 starts); ranked 3rd among all Broncos defenders in sacks",low,"RotoWire, CBS Sports, ESPN gamelog, Titans.com, AOL/Titans signing report"
Byron Young,LA,DE,17.0,45.0,37.0,,12.0,1.0,,,,"Full-time starting edge rusher, dominant duo with Jared Verse","Real 2025: 82 tackles (45 solo, 37 assist), 12.0 sacks (tied 8th in NFL), 1 FF over 17 games; first career Pro Bowl nod; NFC Defensive Player of the Month Sept 2025; sack production dipped in 2nd half while playing through a knee injury but remained a full-time starter",low,"CBS Sports, PFF, Rams.com, ESPN gamelog"
Nik Bonitto,DEN,DE,17.0,31.0,15.0,,14.0,2.0,,1.0,,"Full-time starting edge rusher, elite pass rusher","Real 2025: 46 tackles (31 solo, 15 assist), career-high 14.0 sacks, 2 FF, 1 PD over 17 games; NFL sacks leader for a stretch of the season, on pace to break Von Miller's Broncos franchise sack record",low,"CBS Sports, Denverbroncos.com, PFF, Sportsforecaster"
