team,win_total,implied_ppg,ol_tier,hc_2026,new_hc_or_oc,starting_qb_2026,qb_change,scheme_tendency,pace_tier,redzone_note,division_odds,sb_odds,key_personnel_changes,notes
Jaguars,8.5,22.0,average,Liam Coen,no,Trevor Lawrence,no,balanced; Coen scheme emphasizes play-action,average,none notable,competitive in AFC South (est. +150),+6000 (est.),Lawrence retained as starter; no major confirmed skill-position departures found in search,limited specific personnel-change detail found; largely continuity assumed
Titans,6.5,17.5,poor,Robert Saleh,"yes - new HC (replaced Brian Callahan, fired in-season 2025)",Cam Ward,no,run-funnel expected under new staff; sophomore Ward developing,slow,unclear under new staff,long shot in AFC South (est. +600),+20000 (est.),Only 3 holdovers from prior staff; Ward enters year two as starter with new coaching around him,O-line ranked LAST of all 32 teams in one 2026 ranking - fantasy-relevant negative for Ward and RBs
Chiefs,10.5,25.5,good,Andy Reid,"new OC (Eric Bieniemy, 2nd stint, per multiple reports)",Patrick Mahomes,no,pass-heavy; tempo/no-huddle elements,fast,Mahomes/short passing game in RZ vs. FB dive,favorite in AFC West (est. -180),+1600,Bieniemy OC hire reported by multiple outlets (some conflicting reports also tied him to Cowboys - treat with caution); core skill weapons largely retained,OC assignment had conflicting search results; flagged as lower-confidence
Chargers,9.5,23.0,average,Jim Harbaugh,"new OC reported (Mike McDaniel, per one source - unconfirmed)",Justin Herbert,no,run-funnel/balanced under Harbaugh,slow,Herbert bootleg/RPO; physical run game,competitive in AFC West (est. +250),+2500,"Overhauled interior O-line - signed Tyler Biadasz and Cole Strange, drafted C/G Jake Slaughter; unit was bottom-tier (31st stuffed run rate) in 2025","OL overhaul well-sourced; OC hire (McDaniel) is a single, unconfirmed report - low confidence, marked estimated"
Broncos,9.5,23.5,elite,Sean Payton,no,Bo Nix,no,balanced; Payton scheme with heavy play-action,average,none notable,competitive in AFC West (est. +250),+2200,"Re-signed RB J.K. Dobbins; OL ranked #1 overall in the NFL for 2026 (Bolles, Meinerz anchors)",OL #1 ranking directly sourced; strong positive signal for Nix and RB production
Raiders,5.5,18.5,below-average,Klint Kubiak,yes - new HC (replaced Pete Carroll),"Kirk Cousins (veteran, with rookie Fernando Mendoza #1 pick waiting)",yes,pass-funnel under Kubiak (Seahawks-style scheme),average,unclear,long shot (est. +1500),+15000 (est.),Traded Geno Smith to Jets; drafted QB Fernando Mendoza #1 overall ($57M rookie deal) but Cousins signed to start Week 1; new OC Andrew Janocko (ex-Seahawks) reported,QB1 designation (Cousins over Mendoza) directly sourced from multiple outlets; monitor camp for in-season change
Eagles,10.5,25.0,elite,Nick Sirianni,no,Jalen Hurts,no,run-heavy (tush push/RPO); balanced overall,average,Hurts primary goal-line/short-yardage weapon - major TD vulture risk for RBs,favorite in NFC East (est. -250),+1600,"All 5 O-line starters retained (Johnson, Dickerson, Jurgens); lost O-line coach Jeff Stoutland's continuity somewhat offset by returning personnel","OL continuity directly sourced; Hurts goal-line usage is a well-established, persistent fantasy pattern"
Cowboys,9.5,24.0,good,Brian Schottenheimer,no,Dak Prescott,no,pass-heavy; up-tempo,fast,none notable,underdog in NFC East (est. +180),+2200,"OL ranked top-5 in run blocking for 2026; core WR corps (Lamb, Ferguson) retained",limited additional skill-position FA/draft detail found in search; largely continuity assumed
Giants,7.5,19.5,below-average,John Harbaugh,"yes - new HC (ex-Ravens HC, hired to replace Brian Daboll who was fired in-season)",QB competition/unsettled,yes (uncertain who exactly),"unclear under brand-new staff (Harbaugh known for run-heavy, physical identity in Baltimore)",slow (est.),unclear,long shot in NFC East (est. +700),+10000 (est.),Entirely new coaching staff under Harbaugh; specific QB1 and skill-position signings not clearly confirmed in search results,significant uncertainty here - QB1 not clearly identified; flagged as the thinnest data row in this dataset
Commanders,7.5,22.5,average,Dan Quinn,no,Jayden Daniels,no,balanced/dual-threat scheme built around Daniels,average,Daniels a major goal-line rushing threat - some vulture risk for RBs,competitive in NFC East (est. +300),+6000 (est.),Signed RB Rachaad White (reported 1yr deal); core WR (Terry McLaurin) retained,"Daniels continuity assumed (no reports of change found); White signing single-source, flagged as lower confidence"
Packers,10.5,24.5,good,Matt LaFleur,no,Jordan Love,no,balanced; play-action heavy,average,committee RB usage in RZ,favorite in NFC North (est. -140),+1800,"Core skill corps (Love, Jacobs, Reed) largely retained; no major confirmed departures found",limited specific FA/draft skill-position detail found; largely continuity assumed
Bears,9.5,23.0,average,Ben Johnson,no,Caleb Williams,no,pass-heavy under Johnson's scheme (year 2),fast,unclear,underdog in NFC North (est. +200),+2500,Traded WR DJ Moore to Buffalo for a 2026 2nd-round pick (plus got a 5th back); reinvesting draft capital around Williams,Moore trade corroborated by multiple sources; a notable target-share change for Bears' remaining WRs
Lions,10.5,26.5,good,Dan Campbell,no,Jared Goff,no,balanced; physical run-first identity with efficient play-action passing,average,heavy RB usage (Gibbs/Montgomery) in short yardage,favorite in NFC North (est. -160),+1800,"Core skill weapons (Goff, Gibbs, St. Brown) retained; new OC reported (Drew Petzing per one source) - unconfirmed","OC hire (Petzing) single-source, low confidence, marked estimated; core roster continuity otherwise strong signal"
Vikings,8.5,21.5,average,Kevin O'Connell,no,J.J. McCarthy (in open competition with newly signed Kyler Murray),yes (open competition),balanced; O'Connell scheme adaptable to QB skill set,average,unclear pending QB decision,underdog in NFC North (est. +350),+6000 (est.),Signed veteran Kyler Murray in free agency to push incumbent J.J. McCarthy for the starting job,"real, multi-source-confirmed QB competition; treat starter as uncertain heading into the season - a key situation to monitor"
Falcons,6.5,20.0,average,Kevin Stefanski,yes - new HC (ex-Browns HC),Michael Penix Jr. (in competition with newly signed Tua Tagovailoa),yes (open competition),balanced under new staff; new OC Tommy Rees (ex-Browns) reported,average,unclear pending QB decision,long shot in NFC South (est. +450),+15000 (est.),Signed Tua Tagovailoa (released by Miami) to compete with Penix (returning from a 3rd ACL tear); signed RB Brian Robinson Jr. in free agency,QB competition and Robinson Jr. signing multi-source corroborated; HC/OC hires (Stefanski/Rees) also corroborated
Saints,7.5,19.5,average,Kellen Moore,no,Tyler Shough,no,balanced; West Coast-style scheme,average,none notable,underdog in NFC South (est. +400),+9000 (est.),Signed RB Travis Etienne (reported 4yr/$52M) in free agency; Shough enters his first year as full-time starter after strong 2025 close,Shough-as-starter and Etienne signing reasonably corroborated; treat exact contract terms as approximate
Panthers,7.5,21.0,average,Dave Canales,no,Bryce Young,no,balanced/run-funnel around Chuba Hubbard,average,Hubbard heavy-usage back near goal line,competitive in NFC South (est. +250; won division in 2025),+6500 (est.),Signed RB A.J. Dillon as short-yardage/goal-line complement to Hubbard,"division-winner context (2025 NFC South champs) sourced; Dillon signing single-source, flagged as lower confidence"
Buccaneers,8.5,23.0,average,Todd Bowles,no,Baker Mayfield,no,pass-heavy; Mayfield/Evans-Godwin-Egbuka spread attack,average,none notable,favorite in NFC South (est. -130),+5000 (est.),Lost WR Mike Evans in free agency (signed with 49ers) - a significant target-share change for the passing game,Evans departure to SF is multi-source corroborated and fantasy-significant for both teams
Rams,11.5,27.5,elite,Sean McVay,no,Matthew Stafford,no,balanced; McVay play-action/motion-heavy scheme,fast,committee RB usage (Kyren Williams-led),biggest favorite in NFC West (est. -300),+500 (confirmed favorite),"Traded for reigning DPOY Myles Garrett (defense, not skill-position); OL ranked top-5 in run blocking; core passing weapons retained","SB favorite (+500) and Garrett trade are well-corroborated, high-confidence facts"
49ers,9.5,24.0,elite,Kyle Shanahan,no,Brock Purdy,no,pass-heavy West Coast scheme; wide zone run game,average,committee RB usage typical of Shanahan scheme,underdog in NFC West (est. +200),+2000,"Signed WR Mike Evans and re-signed/signed WR Christian Kirk in free agency, notably reshaping the receiver corps; OL ranked top-5 in run blocking",Evans and Kirk signings are multi-source corroborated - major fantasy-relevant additions
Seahawks,10.5,25.0,good,Mike Macdonald,no,Sam Darnold,no,balanced; defending Super Bowl champion identity,average,none notable,competitive in NFC West (est. +150),+1100 (confirmed 3rd-shortest),"Defending Super Bowl LX champions; core roster (Darnold, JSN, Walker) largely retained","Super Bowl champion status and Darnold-as-starter are well-corroborated, high-confidence facts"
Cardinals,3.5,17.0,average,Jonathan Gannon,no,Jacoby Brissett,yes,balanced/run-funnel,slow,unclear,heavy underdog in NFC West (est. +2000),+50000 (est.),Moved on from Kyler Murray (declined to keep him after injury-plagued 2025; Murray signed with Vikings); Brissett takes over as full-time starter,Murray departure/Brissett-as-starter well-corroborated by multiple sources; lowest win total (3.5) in the entire NFL this year
