player_name,position,nfl_team_2026,team_changed,offseason_move,injury_status,suspension_note,depth_chart_note,vacated_opportunity_note,notes
Bryce Young,QB,CAR,No,,,,,,"No material change; Panthers added veteran Kenny Pickett (traded for, replacing Andy Dalton) as the primary backup."
J.J. McCarthy,QB,MIN,No,,,,"Demoted to backup after Vikings signed free agent Kyler Murray, who is currently listed as the starter; open QB competition per team statements.",,"Team unchanged, but role uncertain - lost the presumptive starting job to free-agent signee Kyler Murray."
Anthony Richardson Sr.,QB,IND,No,Colts declined his 5th-year option; his agent requested a trade in Feb 2026 but no deal materialized.,,,Competing with 2nd-year QB Riley Leonard to be Daniel Jones' primary backup (QB2/QB3).,,Remains on IND but buried on the depth chart behind Daniel Jones; trade request did not result in a move.
Michael Penix Jr.,QB,ATL,No,,Recovering from his third career torn ACL (suffered Nov 2025); as of camp he said full medical clearance could still be about a month away.,,Competing with newly signed Tua Tagovailoa for the starting job; most reports expect Tua to win the Week 1 job.,,Significant injury risk entering 2026 - may not be ready Week 1 and could lose the starting job to Tua outright.
Kirk Cousins,QB,LV,Yes,Released by the Falcons; signed with the Raiders and is currently listed as the starter over rookie 1st-overall-pick Fernando Mendoza.,,,Listed as Raiders QB1 on the current depth chart.,,Team change ATL->LV.
Sam Darnold,QB,SEA,No,,,,,,No material change; Seahawks added weapons WR Cooper Kupp and WR Rashid Shaheed (re-signed) this offseason.
Cam Ward,QB,TEN,No,,,,,,"No material change; confirmed starter entering year 2, with Mitchell Trubisky as backup."
Russell Wilson,QB,NYG,No,,,,"Now a clear backup/mentor role behind entrenched starter Jaxson Dart, having been benched for Dart during the 2025 season.",,"No team change, but role solidified as veteran backup rather than a competitor for the starting job."
Jaxson Dart,QB,NYG,No,,,,Undisputed QB1 entering 2026 after taking over from Wilson partway through 2025.,,No team change; consolidated as the Giants' franchise quarterback with Jameis Winston/Russell Wilson as insurance.
Jahmyr Gibbs,RB,DET,No,,,,,,"No material change to his own team, but vacated opportunity: longtime backfield mate David Montgomery was traded to Houston, clearing more of the touch share for Gibbs; Lions signed veteran Isiah Pacheco as the new complementary back."
Bijan Robinson,RB,ATL,No,,,,Held in at the start of training camp (reported but not practicing) amid stalled contract-extension talks; still expected to be Falcons' clear workhorse.,,"Falcons extended other players (WR Drake London, TE Kyle Pitts, OL Matthew Bergeron) before getting a deal done with Bijan; no long-term contract yet as of Aug 2026 - watch for holdout risk."
Christian McCaffrey,RB,SF,No,,"Healthy at 2026 camp after playing all 17 games in 2025 (311 att/1,202 yds/10 TD rushing, 102 catches); no current injury.",,49ers have signaled they may manage his touches (career-high 413 in 2025) to keep him fresh.,,"No injury currently, but mild efficiency/workload-management watch item given his injury history (missed most of 2024)."
Jonathan Taylor,RB,IND,No,,,,,,No material change; confirmed unquestioned Colts starter.
James Cook III,RB,BUF,No,,,,Bills' clear bell-cow after leading the NFL in rushing in 2025; Ty Johnson mixes in on passing downs.,,No material change to role.
Ashton Jeanty,RB,LV,No,,,,,,No material change; entrenched Raiders starter entering year 2 after being the first-round pick in 2025.
De'Von Achane,RB,MIA,No,"Signed a 4-year, up-to-$68M extension (about $32M guaranteed) in May 2026, ending months of trade speculation tied to Miami's rebuild.",,,Confirmed centerpiece of Dolphins' retooled offense under new HC Jeff Hafley/OC Bobby Slowik.,,Not traded despite speculation after the Tyreek Hill release and Jaylen Waddle trade; extended as the clear offensive cornerstone in Miami.
Saquon Barkley,RB,PHI,No,,,,Tank Bigsby (acquired via trade from JAX in 2025) is the primary backup/change-of-pace back.,,No material change to starting role.
Derrick Henry,RB,BAL,No,,No new injury; Ravens plan to manage his practice/carry volume more carefully in camp to keep him fresh into the postseason.,,,,No material change to role; still the lead back entering his age-32 season.
Josh Jacobs,RB,GB,No,,,,"Backfield depth behind him remains thin (MarShawn Lloyd, Chris Brooks) after a small 2026 Packers draft class.",,No material change to role; still the clear starter.
Kyren Williams,RB,LAR,No,,,,Blake Corum is the backup; 2nd-year Jarquez Hunter also in the mix for touches.,,No material change to starting role.
Omarion Hampton,RB,LAC,No,,,,,,No material change; entrenched as Chargers' starter entering year 2.
Breece Hall,RB,NYJ,No,"Franchise tagged by the Jets, which kept him off the open market.",,,Confirmed lead back; Braelon Allen and Isaiah Davis compete for the change-of-pace role behind him.,,No material change to role - just a franchise tag rather than a new long-term deal.
Chase Brown,RB,CIN,No,,,,,,"No material change; confirmed starter, with Samaje Perine as the primary backup."
Bucky Irving,RB,TB,No,,,,Confirmed starter; Kenneth Gainwell signed in free agency as the primary backup (replacing departed Rachaad White).,,No material change to role.
Kenneth Walker III,RB,KC,Yes,Signed with the Chiefs in free agency after leaving Seattle.,,,Projected as Kansas City's lead back.,,Team change SEA->KC.
Alvin Kamara,RB,NO,No,,,,Demoted to a backup role after the Saints signed free agent Travis Etienne as the new starter.,Vacated opportunity in reverse: Kamara loses starting touches to the Etienne signing.,
David Montgomery,RB,HOU,Yes,Traded from the Lions to the Texans (Detroit also received OL Juice Scruggs and draft picks) after seeking a bigger role.,,,Will be Houston's RB1 in 2026.,,Major team change DET->HOU with an expanded workload; Lions replaced him in committee with free-agent signee Isiah Pacheco.
Isiah Pacheco,RB,DET,Yes,Left the Chiefs in free agency; signed with the Lions as a complementary/early-down back after David Montgomery was traded away.,,,Won two Super Bowls with KC (2022-23 seasons); competes for early-down/short-yardage work behind Jahmyr Gibbs.,,Team change KC->DET.
Chuba Hubbard,RB,CAR,No,,,,Confirmed RB1; competes for touches with 2nd-year Jonathon Brooks after Rico Dowdle left in free agency.,Vacated opportunity: Rico Dowdle's departure (signed with PIT) opens touches in Carolina's backfield.,
TreVeyon Henderson,RB,NE,No,,,,"Co-starter with Rhamondre Stevenson atop the Patriots' backfield; open competition for the RB3 job (Lan Larison, rookie Jam Miller, UDFA Myles Montgomery).",,No material change to role - shares lead-back duties with Stevenson.
RJ Harvey,RB,DEN,No,,,,"Currently the backup to re-signed J.K. Dobbins, part of a three-man committee with Jonah Coleman.",,No material change; has not yet claimed a clear lead role despite draft pedigree.
Tony Pollard,RB,TEN,No,,,,,,"No material change; confirmed starter, with Tyjae Spears as primary backup."
Rhamondre Stevenson,RB,NE,No,,,,,,No material change; co-starter with TreVeyon Henderson.
Javonte Williams,RB,DAL,Yes,Signed with the Cowboys in free agency (from Denver) after Rico Dowdle left for Pittsburgh.,,,Named Cowboys' definitive RB1; Jaydon Blue and Phil Mafah compete for the RB2 job.,,Team change DEN->DAL.
Aaron Jones Sr.,RB,MIN,No,,,,Confirmed Vikings starter; Jordan Mason is the primary backup.,,No material change.
Joe Mixon,RB,Free agent,Yes,"Released by the Texans in March 2026 (at his own request) after missing all of the 2025 season with a rare 'freak' foot/ankle injury, per GM Nick Caserio.",Missed the entire 2025 season with the foot/ankle injury; described as fully healed but remains unsigned.,,Unsigned as camps open; future murky.,,"Significant availability risk - out all of 2025, no team as of Aug 2026 training camp."
Najee Harris,RB,LAC,Yes,"Signed a one-year, fully guaranteed $5.25M deal with the Chargers after four seasons in Pittsburgh.",Suffered a superficial eye injury in a July 4th fireworks accident; has since been cleared for contact and is targeting Week 1.,,,,Team change PIT->LAC; the eye injury was scary but trending toward full clearance for the opener.
Zach Charbonnet,RB,SEA,No,,Had ACL surgery in late February 2026; opened training camp on the PUP list with a conservative return timeline.,,Rookie Jadarian Price and George Holani are in the mix behind him; Holani reportedly got first-team reps in OTAs.,,"Significant injury risk: recovering from a torn ACL/surgery, with an uncertain Week 1 availability."
Tyrone Tracy Jr.,RB,NYG,No,,,,,,"No material change; confirmed starter, with Devin Singletary and rookie Cam Skattebo behind him."
Travis Etienne Jr.,RB,NO,Yes,"Signed a 4-year, $52M free agent deal with the Saints after five seasons with Jacksonville; Bhayshul Tuten now starts in his place in Jacksonville.",,,"Named Saints' new starter, with Alvin Kamara moving into a backup role.",,Team change JAX->NO; wanted to be closer to his home state of Louisiana.
D'Andre Swift,RB,CHI,No,,,,,,No material change; confirmed Bears starter.
J.K. Dobbins,RB,DEN,No,Re-signed with the Broncos in free agency.,,,"Confirmed RB1 on the current depth chart, ahead of rookie RJ Harvey.",,No material change - re-signed with the same team.
Jaylen Warren,RB,PIT,No,,,,Confirmed RB1; Steelers added free agent Rico Dowdle (from CAR) for depth/competition.,,"No material change to the starting role, but more competition behind him."
Brian Robinson,RB,ATL,Yes,"Signed a one-year, $2.5M deal with the Falcons in free agency after departing Washington.",,,Backup to Bijan Robinson in Atlanta.,,Team change WAS->ATL.
Rachaad White,RB,WAS,Yes,Left Tampa Bay after four seasons; signed with the Commanders in free agency.,,,Backup to new starter Jacory Croskey-Merritt; reunites with former Arizona State teammate Jayden Daniels.,,Team change TB->WAS.
Austin Ekeler,RB,Free agent,Yes,Not re-signed by Washington as the team gets younger; fully medically cleared from a prior Achilles injury and looking for a new team.,Fully recovered from Achilles injury.,,,,"Team change - left WAS, remains unsigned as of camp; says he plans to keep playing."
Devin Singletary,RB,NYG,No,,,,,,No material change; backup to Tyrone Tracy Jr.
Jerome Ford,RB,CLE,No,,,,Backup to rookie-turned-starter Quinshon Judkins; Dylan Sampson also in the mix.,,No material change to backup role.
Tank Bigsby,RB,PHI,Yes,Traded from the Jaguars to the Eagles (Sept 2025) for late-round draft picks.,,,Backup/change-of-pace back to Saquon Barkley; also used on kick returns.,,"Team change JAX->PHI (trade occurred during the 2025 season, remains in effect for 2026)."
Gus Edwards,RB,Uncertain,No,,,,,,Could not confirm his 2026 team with high confidence in available searches; treat as deep depth chart with no notable 2026 news found - verify before finalizing projections.
Zamir White,RB,LV,No,,,,,,No material change; backup to Ashton Jeanty.
Rico Dowdle,RB,PIT,Yes,Left Carolina in free agency; signed with the Steelers.,,,Competing for touches behind Jaylen Warren.,,Team change CAR->PIT.
Jaylen Wright,RB,MIA,No,,,,,,No material change; backup to De'Von Achane in Miami's retooled backfield.
Trey Benson,RB,ARI,No,,,,"Cardinals used the No. 3 overall pick on RB Jeremiyah Love (Notre Dame), pushing Benson down the depth chart behind the rookie and veteran James Conner.",Vacated opportunity reversed: Benson's path to touches is now blocked by a top-3-overall rookie pick rather than opened up.,
Emmett Johnson,RB,KC,No,,,,,,No material change; depth back in the Chiefs' RB room behind Kenneth Walker III.
Jonathon Brooks,RB,CAR,No,,Recovering from a second ACL tear in two years.,,Competing with Chuba Hubbard for touches.,,Real injury risk given the second ACL tear; role likely limited behind Hubbard early in the season.
Bhayshul Tuten,RB,JAX,No,,,,Elevated to Jaguars' starting running back after Travis Etienne left in free agency.,Vacated opportunity: Etienne's departure hands Tuten the starting job entering his second season.,
Ollie Gordon II,RB,MIA,No,,,,,,"Depth piece in Miami's crowded, rebuilt backfield; could not fully confirm exact role - treat with some uncertainty."
Dylan Sampson,RB,CLE,No,,,,Backup behind 2nd-round rookie-turned-starter Quinshon Judkins.,,No material change.
Cam Skattebo,RB,NYG,No,,,,Was a fantasy standout as a rookie (RB9 in points per game in 2025) under new OC Brian Daboll's scheme; currently a backup to Tyrone Tracy Jr.,,"No material change to team, but strong per-game efficiency makes him a notable handcuff/change-of-pace option."
Jaydon Blue,RB,DAL,No,,,,,,No material change; competing with Phil Mafah for the Cowboys' RB2 job behind Javonte Williams.
Kimani Vidal,RB,LAC,No,,,,,,No material change; backup to Omarion Hampton.
Ray Davis,RB,BUF,No,,,,,,No material change; backup to James Cook.
Blake Corum,RB,LAR,No,,,,,,"No material change; backup to Kyren Williams, with 2nd-year Jarquez Hunter also competing for touches."
Tyjae Spears,RB,TEN,No,,,,,,No material change; backup to Tony Pollard.
Braelon Allen,RB,NYJ,No,,,,,,No material change; competing with Isaiah Davis for the change-of-pace role behind Breece Hall.
Kenneth Gainwell,RB,TB,Yes,Signed with the Buccaneers in free agency (2 years) as the backup to Bucky Irving.,,,,,Team change; now Tampa Bay's primary backup RB.
Ty Chandler,RB,MIN,No,,,,,,"No material change identified; deep bench behind Aaron Jones/Jordan Mason, not closely researched."
Justice Hill,RB,BAL,No,,,,,,"No material change identified; deep bench behind Derrick Henry, not closely researched."
Roschon Johnson,RB,CHI,No,,,,,,"No material change identified; deep bench behind D'Andre Swift, not closely researched."
Miles Sanders,RB,DAL,Yes,Signed with the Cowboys in free agency as depth behind Javonte Williams.,,,,,"Team change; deep depth-chart piece, not closely researched beyond the signing."
Kaleb Johnson,RB,PIT,No,,,,,,No material change; backup on the Steelers' RB depth chart.
Isaac Guerendo,RB,SF,No,,,,,,"No material change identified; deep bench behind Christian McCaffrey, not closely researched."
Tyler Allgeier,RB,ARI,Yes,"Signed with the Cardinals in free agency (2 years, $12M) after time in Atlanta.",,,"Behind rookie Jeremiyah Love, James Conner, and Trey Benson on the depth chart.",,Team change ATL->ARI.
Jordan Mason,RB,MIN,No,,,,,,No material change; backup to Aaron Jones Sr.
Woody Marks,RB,HOU,No,,,,Backup to new starter David Montgomery.,Vacated-opportunity note in reverse: the Montgomery trade pushed Marks (and other incumbent Texans backs) into backup roles rather than opening up touches.,
Devin Neal,RB,Uncertain,No,,,,,,Deep bench/rookie; not closely researched given scope guidance to skip deepest bench filler.
Ja'Marr Chase,WR,CIN,No,"Signed a 4-year, $161M extension in March 2025 (no 2026 contract issue).",,,,,No material change; confirmed WR1.
Puka Nacua,WR,LAR,No,,Healthy and practicing at 2026 camp; no notable new injury after past ankle/knee/rib issues.,,,,No material change.
Jaxon Smith-Njigba,WR,SEA,No,,,,,,No material change; confirmed Seahawks WR1.
Amon-Ra St. Brown,WR,DET,No,,,,,,No material change.
A.J. Brown,WR,NE,Yes,Traded from the Eagles to the Patriots for a 2028 1st-round pick and a 2027 5th-round pick - the most anticipated trade of the offseason.,,,"Reunites with Mike Vrabel, his first NFL head coach; expected to be Patriots' clear WR1.",,Major team change PHI->NE.
Nico Collins,WR,HOU,No,,,,,,No material change; confirmed Texans WR1.
Malik Nabers,WR,NYG,No,,"Tore his ACL and lateral meniscus in Week 4, 2025 (a full meniscus repair, more complex than a standard ACL tear); underwent a second 'cleanup' procedure this spring for scar tissue. Practicing again at camp, but a realistic path could include opening on PUP before ramping toward a Week 1-ish return.",,,,Real injury risk entering 2026 - monitor camp/PUP updates closely for Week 1 clarity.
Justin Jefferson,WR,MIN,No,,,,,,No material change; confirmed WR1.
CeeDee Lamb,WR,DAL,No,,,,,,No material change.
Drake London,WR,ATL,No,Signed a lucrative contract extension this summer.,Coming off a PCL injury that limited him to 12 games in 2025; healthy entering 2026.,,,,No team change; extended long-term and healthy.
Ladd McConkey,WR,LAC,No,,,,,,No material change; confirmed Chargers WR1.
Brian Thomas Jr.,WR,JAX,No,,,,In a camp battle for the true WR1 role with free-agent addition Jakobi Meyers and Parker Washington.,,"No team change, but a notable target-share competition to watch in camp."
Marvin Harrison Jr.,WR,ARI,No,,,,,,No material change; confirmed Cardinals WR1.
Tyreek Hill,WR,Free agent,Yes,"Released by the Dolphins on Feb 16, 2026, ahead of contract guarantees.","Tore his ACL in Week 4, 2025 vs. the Jets; even once signed, he is expected to miss roughly the first quarter of the 2026 season.",,,,Major situation to monitor: unsigned free agent recovering from an ACL tear as of Aug 2026 camps - real risk he misses time and/or signs late with a new team.
Davante Adams,WR,LAR,No,,,,,,No material change; remains Rams' WR2 behind Nacua.
DK Metcalf,WR,PIT,No,,,,Confirmed Steelers WR1 alongside newly acquired Michael Pittman Jr.,,"No material change (traded to PIT the prior offseason, remains in place)."
Terry McLaurin,WR,WAS,No,,,,The Commanders' WR2 job behind him is a genuine camp battle per HC Dan Quinn (Antonio Williams and others).,,No material change to McLaurin's own WR1 role.
Garrett Wilson,WR,NYJ,No,,,,,,No material change; confirmed Jets WR1.
Tee Higgins,WR,CIN,No,,,,,,"No material change; made his first Pro Bowl in 2025, remains Bengals WR2."
DJ Moore,WR,BUF,Yes,Traded from the Bears to the Bills (Chicago's 5th-round pick and Buffalo's 2nd-round pick swapped) at the start of the 2026 league year.,,,"Reunites with new Bills HC Joe Brady (his OC in Carolina, 2020-21).",,Team change CHI->BUF; his production had declined in Chicago (682 yards in 2025).
Courtland Sutton,WR,DEN,No,,,,"Still listed as Broncos' starting X-receiver, but target competition increased sharply after Denver traded for Jaylen Waddle.",Vacated-opportunity note in reverse: the incoming Waddle trade could cut into Sutton's target share.,
Zay Flowers,WR,BAL,No,"Ravens exercised his 5th-year option; extension talks (reportedly ~$35M/yr) were ongoing with hopes of a deal before Week 1, but nothing signed as of early Aug 2026.",,,,,"No team change; contract situation worth monitoring, but he is expected to play under his current deal regardless of extension status."
George Pickens,WR,DAL,No,Franchise tagged by the Cowboys for 2026 ($27.3M guaranteed); Dallas declined to negotiate a long-term deal by the July 15 deadline.,,,,,"No team change; playing on the tag for 2026, with ownership stating no intention to trade him."
Jameson Williams,WR,DET,No,,,,,,No material change.
Jordan Addison,WR,MIN,No,,,,"Confirmed Vikings WR2; free-agent addition Jauan Jennings (from SF) is now WR3, forming a very deep receiving corps.",,No material change to Addison's own role.
Rome Odunze,WR,CHI,No,,,,,,"No material change; confirmed Bears starter, with more targets available after DJ Moore was traded away."
Mike Evans,WR,SF,Yes,"Signed a 3-year, $60M free agent deal with the 49ers after leaving Tampa Bay.",,,Listed atop the 49ers' WR depth chart.,,Major team change TB->SF.
Chris Olave,WR,NO,No,,,,,,No material change; confirmed Saints starter.
Calvin Ridley,WR,TEN,No,,,,Demoted on the depth chart - rookie Carnell Tate and free-agent signee Wan'Dale Robinson (from NYG) are now listed ahead of him.,,Notable demotion: no longer Titans' clear WR1 entering 2026.
Xavier Worthy,WR,KC,No,,,,,,No material change; part of the Chiefs' WR room.
Jaylen Waddle,WR,DEN,Yes,"Traded from the Dolphins to the Broncos (Denver sent multiple picks, including this year's 1st-rounder) in a deal finalized during the 2026 NFL Draft.",,,Joins a crowded Denver WR room alongside Courtland Sutton.,,Major team change MIA->DEN; Denver is going all-in for a Super Bowl push.
Deebo Samuel,WR,SF,Yes,"Returned to the 49ers on a 1-year, $7M deal after one season with Washington.",,,Signed in part to fill the gap left by Ricky Pearsall's season-ending surgery.,,Team change WAS->SF (back to his original team).
Keenan Allen,WR,Free agent,Yes,,No injury reported; simply remains unsigned as of mid/late-July 2026 with training camps underway.,,,,Notable name still unsigned as of Aug 2026 - real risk of a limited or delayed role to start the season.
Jerry Jeudy,WR,CLE,No,,,,,,No material change; confirmed Browns WR1.
Rashee Rice,WR,KC,No,,,The NFL concluded he did not violate the personal conduct policy (no further suspension); he did serve roughly 30 days in jail earlier in 2026 for a probation violation (positive THC test tied to a 2024 street-racing case) and faces an ongoing civil domestic-violence lawsuit.,,,"Cleared to play Week 1, but real off-field legal/conduct risk remains given the pending civil suit."
Travis Hunter,WR,JAX,No,,,,,,"No material change; part of a crowded Jaguars WR competition (with Brian Thomas Jr., Jakobi Meyers, Parker Washington)."
Emeka Egbuka,WR,TB,No,,,,Listed alongside Chris Godwin atop the Buccaneers' WR depth chart entering year 2.,,No material change.
Matthew Golden,WR,GB,No,,,,,,No material change.
Tetairoa McMillan,WR,CAR,No,,,,,,No material change; confirmed Panthers WR1.
Ricky Pearsall,WR,SF,No,,Reportedly suffered a season-ending injury requiring surgery (referenced as the reason the 49ers signed Deebo Samuel to fill the gap).,,,,"Significant injury flagged in reporting - verify exact severity/timeline directly before finalizing 2026 projections, as this could mean he is out for the year."
Jauan Jennings,WR,MIN,Yes,Left San Francisco in free agency; signed with the Vikings.,,,"Slots in as Vikings' WR3 behind Jefferson/Addison, forming what's been called one of the NFL's best WR rooms.",,Team change SF->MIN.
Khalil Shakir,WR,BUF,No,,,,,,No material change.
Josh Downs,WR,IND,No,,,,,,No material change; part of the Colts' WR rotation.
Rashod Bateman,WR,BAL,No,,,,,,No material change identified; still with the Ravens.
Darnell Mooney,WR,NYG,Yes,"Released by the Falcons (a cap-saving move); signed a 1-year, up-to-$10M deal with the Giants.",,,Depth/complementary piece behind Malik Nabers in New York's WR room.,,Team change ATL->NYG.
Christian Kirk,WR,HOU,No,,,,,,No material change for 2026 (the trade from JAX happened in 2025 and remains in effect); a depth piece for the Texans who stepped up with two playoff TDs.
Marvin Mims Jr.,WR,DEN,No,,,,Target competition increased sharply after the Broncos traded for Jaylen Waddle.,Vacated-opportunity note in reverse: Waddle's arrival could cut into Mims' role rather than expand it.,
Jayden Reed,WR,GB,No,,,,,,No material change; confirmed Packers WR2 on the current depth chart.
Romeo Doubs,WR,NE,Yes,Signed with the Patriots in free agency (reported multi-year deal in the $60-80M range) after leaving Green Bay.,,,Slots in behind A.J. Brown on New England's new-look WR depth chart.,,Team change GB->NE.
Christian Watson,WR,GB,No,,"Tore his ACL in Jan 2025; returned to play on Oct 26, 2025 (about a 9-month recovery). Fully healthy and listed atop the Packers' 2026 WR depth chart.",,,,No lingering injury concern entering 2026 after a clean ACL recovery.
Adam Thielen,WR,Retired,Yes,"Announced his retirement in January 2026 after 13 NFL seasons (Vikings, Panthers, Steelers).",,,,,Retired - remove from active 2026 projections.
Michael Pittman Jr.,WR,PIT,Yes,Traded from the Colts to the Steelers this offseason.,,,Joins DK Metcalf atop Steelers' WR depth chart; Colts' Tyler Warren expected to help absorb his vacated Indianapolis target share.,,Team change IND->PIT.
Diontae Johnson,WR,Free agent,Yes,Released by the Browns in August 2025; remains unsigned entering 2026 per the latest reports.,,,,,Unsigned free agent as of camp - real availability risk.
Cooper Kupp,WR,SEA,No,,,,,,"No material change (already with Seahawks after signing there in the 2025 offseason); part of a deep, retooled Seattle WR room."
Stefon Diggs,WR,Free agent,Yes,"Released by the Patriots after one season (cap/guarantee reasons); found not guilty in a strangulation trial; still unsigned as of late July 2026, with Commanders speculation.",,,,,Unsigned as of camp - team destination still unresolved; monitor closely.
DeVonta Smith,WR,PHI,No,,,,Elevated to unquestioned Eagles WR1 after the A.J. Brown trade to New England.,Vacated opportunity: A.J. Brown's departure hands Smith (and rookie Makai Lemon) a significantly larger target share.,
Chris Godwin Jr.,WR,TB,No,,Fully recovered from a 2024 dislocated-ankle surgery and a 2025 fibula injury; says he feels 'like his old self' at camp.,,Resumes his primary slot role alongside Emeka Egbuka.,,No team change; positive health outlook after two injury-plagued seasons.
Marquise Brown,WR,PHI,Yes,"Signed a one-year, up-to-$6.5M deal with the Eagles after two seasons with Kansas City.",,,Competing for a complementary WR3 role behind DeVonta Smith and rookie Makai Lemon.,,Team change KC->PHI.
Curtis Samuel,WR,Free agent,Yes,"Released by the Bills in March 2026 (cap-saving move) after two disappointing, injury-hampered seasons.",,,,,Unsigned as of camp.
Elic Ayomanor,WR,TEN,No,,,,,,"No material change; on the Titans' WR depth chart behind rookie Carnell Tate, Wan'Dale Robinson, and Calvin Ridley."
Jack Bech,WR,LV,No,,,,,,"No material change; competing with Tucker/Nailor for complementary targets behind TE Brock Bowers, who dominates the Raiders' passing game."
Kyle Williams,WR,NE,No,,,,,,"No material change to team, but target competition increased with two veteran additions (A.J. Brown, Romeo Doubs) added ahead of him on the depth chart."
Tre Harris,WR,LAC,No,,,,,,No material change; on the Chargers' WR depth chart behind Ladd McConkey/Quentin Johnston.
Luther Burden III,WR,CHI,No,,,,On Bears' WR depth chart alongside Rome Odunze after the DJ Moore trade.,Vacated opportunity: DJ Moore's departure opens up targets in Chicago's passing game.,
Isaac TeSlaa,WR,DET,No,,,,,,No material change; on the Lions' WR depth chart.
Jayden Higgins,WR,HOU,No,,,,,,No material change; on the Texans' WR depth chart behind Nico Collins.
Xavier Legette,WR,CAR,No,,,,,,No material change; on the Panthers' WR depth chart behind Tetairoa McMillan/Jalen Coker.
Adonai Mitchell,WR,NYJ,Yes,Traded from the Colts to the Jets (Nov 2025) as part of the Sauce Gardner deal (Jets also received two 1st-round picks).,,,Listed among Jets' starting receivers alongside Garrett Wilson.,,Team change IND->NYJ; had been stuck behind Pittman/Pierce/Downs in Indianapolis.
Jalen Coker,WR,CAR,No,,,,,,No material change; on the Panthers' WR depth chart.
Keon Coleman,WR,BUF,No,,,,,,No material change; on the Bills' WR depth chart.
Rashid Shaheed,WR,SEA,Yes,"Traded from the Saints to the Seahawks at the 2025 trade deadline; re-signed with Seattle this offseason on a 3-year, $51M deal after helping them win the Super Bowl.",,,,,"Team change NO->SEA (trade occurred in-season 2025, now signed long-term)."
Demario Douglas,WR,NE,No,,,,,,"No material change identified; deep bench, and Patriots' WR overhaul (Brown/Doubs additions) likely reduces his role further."
Tank Dell,WR,HOU,No,,,,,,"No material change identified; deep bench, not closely researched."
Dontayvion Wicks,WR,PHI,Yes,"Traded from the Packers to the Eagles; signed a 1-year, $12.5M extension with Philadelphia.",,,Competing (with Marquise Brown) for the Eagles' WR3 role.,,Team change GB->PHI.
Josh Reynolds,WR,Uncertain,No,,,,,,Deep bench; not closely researched.
Wan'Dale Robinson,WR,TEN,Yes,"Signed a 4-year, $78M free agent deal with the Titans after leaving the Giants.",,,"Elevated onto Titans' WR depth chart alongside rookie Carnell Tate, contributing to Calvin Ridley's demotion.",,Team change NYG->TEN.
Quentin Johnston,WR,LAC,No,,,,,,No material change.
Jalin Hyatt,WR,Uncertain,No,,,,,,Deep bench; not closely researched.
