team,projected_points,floor,ceiling,risk_tier,explanation
49ers,127.5,99.5,159.4,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~7.5 pts/g. Median 128, floor 100, ceiling 159."
Cowboys,127.5,99.5,159.4,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~7.5 pts/g. Median 128, floor 100, ceiling 159."
Bears,127.5,99.5,159.4,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~7.5 pts/g. Median 128, floor 100, ceiling 159."
Chargers,127.5,99.5,159.4,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~7.5 pts/g. Median 128, floor 100, ceiling 159."
Texans,127.5,99.5,159.4,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~7.5 pts/g. Median 128, floor 100, ceiling 159."
Vikings,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 8.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Commanders,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 7.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Giants,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 7.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Saints,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 7.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Panthers,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 7.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Steelers,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 8.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Jaguars,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 8.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Colts,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 7.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Buccaneers,102.0,79.6,127.5,medium,"Average-tier defensive projection derived from a 8.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~6.0 pts/g. Median 102, floor 80, ceiling 128."
Browns,68.0,53.0,85.0,medium,"Below-average-tier defensive projection derived from a 6.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~4.0 pts/g. Median 68, floor 53, ceiling 85."
Falcons,68.0,53.0,85.0,medium,"Below-average-tier defensive projection derived from a 6.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~4.0 pts/g. Median 68, floor 53, ceiling 85."
Titans,68.0,53.0,85.0,medium,"Below-average-tier defensive projection derived from a 6.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~4.0 pts/g. Median 68, floor 53, ceiling 85."
Raiders,47.6,37.1,59.5,medium,"Poor-tier defensive projection derived from a 5.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~2.8 pts/g. Median 48, floor 37, ceiling 60."
Dolphins,47.6,37.1,59.5,medium,"Poor-tier defensive projection derived from a 4.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~2.8 pts/g. Median 48, floor 37, ceiling 60."
Jets,47.6,37.1,59.5,medium,"Poor-tier defensive projection derived from a 5.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~2.8 pts/g. Median 48, floor 37, ceiling 60."
Cardinals,47.6,37.1,59.5,medium,"Poor-tier defensive projection derived from a 3.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~2.8 pts/g. Median 48, floor 37, ceiling 60."
